District,Update_Count,New_Enrolment_Count,Zone,Recommended_Action
Agra,530056,33375,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Aligarh,476509,29095,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Allahabad,542333,15776,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Ambedkar Nagar,207443,9524,Balanced Zone,Standard Operations
Amethi,211661,8569,Balanced Zone,Standard Operations
Amroha,226912,9736,Balanced Zone,Standard Operations
Auraiya,142690,4603,Ghost Zone,Deploy Mobile Aadhaar Vans
Ayodhya,36836,1855,Ghost Zone,Deploy Mobile Aadhaar Vans
Azamgarh,415921,23596,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Baghpat,139536,7826,Ghost Zone,Deploy Mobile Aadhaar Vans
Bahraich,387740,41484,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Ballia,302260,12119,Balanced Zone,Standard Operations
Balrampur,237351,14011,Balanced Zone,Standard Operations
Banda,194257,12262,Balanced Zone,Standard Operations
Bara Banki,355331,11273,Balanced Zone,Standard Operations
Barabanki,15528,2526,Ghost Zone,Deploy Mobile Aadhaar Vans
Bareilly,558416,30726,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Basti,247245,12134,Balanced Zone,Standard Operations
Bhadohi,24437,713,Ghost Zone,Deploy Mobile Aadhaar Vans
Bijnor,514786,19811,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Budaun,339309,17223,Balanced Zone,Standard Operations
Bulandshahr,433414,20299,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Chandauli,217347,10757,Balanced Zone,Standard Operations
Chitrakoot,130837,6516,Ghost Zone,Deploy Mobile Aadhaar Vans
Deoria,307914,12293,Balanced Zone,Standard Operations
Etah,184993,12837,Balanced Zone,Standard Operations
Etawah,181372,8689,Ghost Zone,Deploy Mobile Aadhaar Vans
Faizabad,207860,8066,Balanced Zone,Standard Operations
Farrukhabad,183202,7358,Balanced Zone,Standard Operations
Fatehpur,272845,13953,Balanced Zone,Standard Operations
Firozabad,318914,13992,Balanced Zone,Standard Operations
Gautam Buddha Nagar,284568,20815,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Ghaziabad,501714,25558,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
Ghazipur,343341,13906,Balanced Zone,Standard Operations
Gonda,331962,17492,Balanced Zone,Standard Operations
Gorakhpur,414497,22868,High Traffic Zone,Deploy Permanent Staff & Server Upgrade
