district,total_enroll,total_demo,total_bio,total_update,zone
Agra,33375,201459,328597,530056,High Traffic Zone
Aligarh,29095,204313,272196,476509,High Traffic Zone
Allahabad,15776,192310,350023,542333,Balanced Zone
Ambedkar Nagar,9524,83136,124307,207443,Balanced Zone
Amethi,8569,78255,133406,211661,Balanced Zone
Amroha,9736,94614,132298,226912,Balanced Zone
Auraiya,4603,53298,89392,142690,Balanced Zone
Ayodhya,1855,16351,20485,36836,Balanced Zone
Azamgarh,23596,168015,247906,415921,High Traffic Zone
Baghpat,7826,59564,79972,139536,Balanced Zone
Bahraich,41484,146248,241492,387740,High Traffic Zone
Ballia,12119,115869,186391,302260,Balanced Zone
Balrampur,14011,91830,145521,237351,Balanced Zone
Banda,12262,76530,117727,194257,Balanced Zone
Bara Banki,11273,119177,236154,355331,Balanced Zone
Barabanki,2526,6190,9338,15528,Balanced Zone
Bareilly,30726,254637,303779,558416,High Traffic Zone
Basti,12134,92995,154250,247245,Balanced Zone
Bhadohi,713,12109,12328,24437,Balanced Zone
Bijnor,19811,223354,291432,514786,High Traffic Zone
Budaun,17223,179309,160000,339309,Balanced Zone
Bulandshahr,20299,180534,252880,433414,High Traffic Zone
Chandauli,10757,98322,119025,217347,Balanced Zone
Chitrakoot,6516,44650,86187,130837,Balanced Zone
Deoria,12293,119414,188500,307914,Balanced Zone
Etah,12837,64899,120094,184993,Balanced Zone
Etawah,8689,67400,113972,181372,Balanced Zone
Faizabad,8066,72007,135853,207860,Balanced Zone
Farrukhabad,7358,75022,108180,183202,Balanced Zone
Fatehpur,13953,117988,154857,272845,Balanced Zone
Firozabad,13992,150325,168589,318914,Balanced Zone
Gautam Buddha Nagar,20815,166443,118125,284568,Balanced Zone
Ghaziabad,25558,245348,256366,501714,High Traffic Zone
Ghazipur,13906,137483,205858,343341,Balanced Zone
Gonda,17492,129846,202116,331962,Balanced Zone
Gorakhpur,22868,168730,245767,414497,High Traffic Zone
Hamirpur,4421,44003,76120,120123,Balanced Zone
Hapur,8275,49386,82007,131393,Balanced Zone
Hardoi,28548,147280,277841,425121,High Traffic Zone
Hathras,7729,61318,103431,164749,Balanced Zone
Jalaun,6621,66120,102502,168622,Balanced Zone
Jaunpur,18615,160571,263810,424381,High Traffic Zone
Jhansi,8819,72822,160120,232942,Balanced Zone
Jyotiba Phule Nagar,99,740,1140,1880,Balanced Zone
Kannauj,7696,63174,101283,164457,Balanced Zone
Kanpur Dehat,9009,71905,109876,181781,Balanced Zone
Kanpur Nagar,27578,182416,255374,437790,High Traffic Zone
Kasganj,7455,55256,100894,156150,Balanced Zone
Kaushambi,8526,72568,132237,204805,Balanced Zone
Kheri,27354,193323,262961,456284,High Traffic Zone
Kushinagar,12847,156715,199299,356014,Balanced Zone
Lalitpur,5763,51155,105455,156610,Balanced Zone
Lucknow,28904,218147,296830,514977,High Traffic Zone
Maharajganj,19702,114322,141167,255489,Balanced Zone
Mahoba,3640,34508,64474,98982,Balanced Zone
Mainpuri,13101,71063,110013,181076,Balanced Zone
Mathura,13771,110258,173352,283610,Balanced Zone
Mau,8911,98843,120404,219247,Balanced Zone
Meerut,26337,173680,237139,410819,High Traffic Zone
Mirzapur,9140,83672,152988,236660,Balanced Zone
Moradabad,23522,173089,232095,405184,High Traffic Zone
Muzaffarnagar,14129,145548,227245,372793,Balanced Zone
Pilibhit,15230,140099,187175,327274,Balanced Zone
Pratapgarh,12349,106781,187918,294699,Balanced Zone
Prayagraj,3232,31097,35635,66732,Balanced Zone
Rae Bareli,11435,113247,185038,298285,Balanced Zone
Rampur,22178,148247,158107,306354,Balanced Zone
Saharanpur,21139,169943,252798,422741,High Traffic Zone
Sambhal,10280,111162,146779,257941,Balanced Zone
Sant Kabir Nagar,7393,81497,122771,204268,Balanced Zone
Sant Ravidas Nagar,5634,51250,99701,150951,Balanced Zone
Shahjahanpur,26063,152999,231218,384217,High Traffic Zone
Shamli,9521,70989,139167,210156,Balanced Zone
Shrawasti,6153,65225,80260,145485,Balanced Zone
Siddharthnagar,16058,105657,149452,255109,Balanced Zone
Sitapur,34257,189951,334104,524055,High Traffic Zone
Sonbhadra,6019,66158,146106,212264,Balanced Zone
Sultanpur,12785,85450,139223,224673,Balanced Zone
Unnao,21537,140479,211368,351847,High Traffic Zone
Varanasi,26301,168574,255061,423635,High Traffic Zone
